School Name,Full-time Faculty Rate (%),Faculty Average Salary,Student Enrollment Size,Attendance Cost,CompletionRate150,Admission Rate (%),RetentionRate,SAT Average,x0_Private ForProfit,x0_Private NonProfit,x0_Public
Alabama A & M University,99.6,91188.0,5090.0,23445.0,28.660000000000004,89.64999999999999,54.03,959.0,0.0,0.0,1.0
University of Alabama at Birmingham,76.19,136560.0,13549.0,25542.0,61.17,80.60000000000001,86.4,1245.0,0.0,0.0,1.0
University of Alabama in Huntsville,67.02,116364.0,7825.0,24861.0,57.14,77.11,81.8,1300.0,0.0,0.0,1.0
Alabama State University,67.97,86328.0,3603.0,21892.0,31.77,98.88,62.02,938.0,0.0,0.0,1.0
The University of Alabama,77.07000000000001,124188.0,30610.0,30016.0,72.14,80.39,87.22999999999999,1262.0,0.0,0.0,1.0
Athens State University,50.0,104196.0,2629.0,47907.98906552407,67.44747674269884,68.47461806516313,83.55505382203584,1150.179566643318,0.0,0.0,1.0
Auburn University at Montgomery,70.87,92748.0,4301.0,20225.0,30.4,95.55,69.72,1061.0,0.0,0.0,1.0
Auburn University,86.53999999999999,128664.0,24368.0,32196.0,78.7,85.07000000000001,91.97,1302.0,0.0,0.0,1.0
Birmingham-Southern College,77.7,83532.0,1129.0,32514.0,70.94,60.45,79.52,1202.0,0.0,1.0,0.0
South University-Montgomery,14.08,59160.0,289.0,28761.0,14.29,60.54919899737586,60.0,986.0693983994393,1.0,0.0,0.0
Faulkner University,53.900000000000006,71112.0,1834.0,34835.0,27.11,75.76,60.47,1068.0,0.0,1.0,0.0
Huntingdon College,75.94999999999999,82632.0,917.0,37483.0,41.85,54.39000000000001,69.92,1101.0,0.0,1.0,0.0
Jacksonville State University,78.03,87912.0,6776.0,21560.0,45.51,63.690000000000005,73.38,1084.0,0.0,0.0,1.0
University of West Alabama,46.72,78612.0,2247.0,22645.0,40.11,93.13,62.5,1035.0,0.0,0.0,1.0
Miles College,75.44999999999999,59652.0,1438.0,22684.0,23.51,78.70374081140886,55.26,946.4783022347985,0.0,1.0,0.0
University of Mobile,100.0,63180.0,1164.0,36890.0,48.9,66.57,78.2,1052.159801656268,0.0,1.0,0.0
University of Montevallo,64.71000000000001,91476.0,2186.0,26018.0,54.15,60.52,78.42,1131.0,0.0,0.0,1.0
University of North Alabama,66.31,107820.0,5411.0,21502.0,49.95,82.66,77.33,1070.3410810208318,0.0,0.0,1.0
Oakwood University,80.07,56460.0,1320.0,37764.0,50.0,88.81,74.25,1054.219594339861,0.0,1.0,0.0
Samford University,98.73,108084.0,3573.0,49634.0,77.2,83.99,87.11,1219.0,0.0,1.0,0.0
University of South Alabama,62.8,90084.0,8787.0,21694.0,44.91,73.03,76.44,1162.0,0.0,0.0,1.0
Spring Hill College,68.64,72480.0,1058.0,55844.0,56.91,54.16,81.16,1125.0,0.0,1.0,0.0
Stillman College,72.88,63600.0,699.0,27665.0,21.51,55.53,56.28,990.6237189858749,0.0,1.0,0.0
Talladega College,56.940000000000005,73200.0,1142.0,24220.0,30.14,64.15316114517134,64.56,1047.9167609338092,0.0,1.0,0.0
Troy University,53.75,81420.0,12294.0,21251.0,50.17,92.43,77.07000000000001,1094.0,0.0,0.0,1.0
Tuskegee University,87.18,86688.0,2280.0,40750.0,51.89,61.13,77.03,1016.0,0.0,1.0,0.0
United States Sports Academy,45.45,68940.0,130.0,21299.30859868317,18.74966699969779,67.73009061673231,46.69462719576862,1074.3494741329557,0.0,1.0,0.0
University of Alaska Anchorage,51.81,112500.0,8257.0,18946.0,30.12,76.83,68.19,1119.7824829386325,0.0,0.0,1.0
University of Alaska Fairbanks,61.31,115896.0,4259.0,19135.0,38.7,67.01,78.16,1138.0,0.0,0.0,1.0
Alaska Pacific University,48.51,76080.0,298.0,34350.0,55.56,90.65,55.56,1005.471718370102,0.0,1.0,0.0
Arizona State University Campus Immersion,74.26,135000.0,62633.0,27056.0,66.01,88.37,86.2,1207.0,0.0,0.0,1.0
University of Arizona,77.84,123660.0,34659.0,27461.0,64.89,85.13,85.47,1220.0,0.0,0.0,1.0
Embry-Riddle Aeronautical University-Prescott,72.2,111072.0,2959.0,54536.0,59.16,66.85,82.17999999999999,1238.0,0.0,1.0,0.0
Grand Canyon University,8.219999999999999,82440.0,62424.0,31376.0,46.57,80.69,73.55000000000001,1123.6807864746654,1.0,0.0,0.0
Northern Arizona University,67.83,107172.0,24880.0,27969.0,56.87,81.64,76.25999999999999,1161.9197944001903,0.0,0.0,1.0
Prescott College,25.790000000000003,65076.0,413.0,43649.0,48.78,98.42,58.81999999999999,1141.0,0.0,1.0,0.0
Arizona Christian University,28.09,61224.0,883.0,44585.0,43.79,71.47,46.58,1031.0,0.0,1.0,0.0
University of Arkansas at Little Rock,100.0,117864.0,5620.0,20416.0,41.69,56.04,73.09,1098.0,0.0,0.0,1.0
University of Arkansas for Medical Sciences,88.24,121728.0,838.0,36447.37119254001,43.09909257022395,71.55256032394777,61.27525797319309,1141.3044173571457,0.0,0.0,1.0
Lyon College,100.0,78576.0,665.0,41396.0,42.52,50.14999999999999,68.78999999999999,1198.0,0.0,1.0,0.0
University of Arkansas,88.25,119412.0,22624.0,23997.0,68.5,77.66999999999999,84.71,1236.0,0.0,0.0,1.0
University of Arkansas at Pine Bluff,80.62,70620.0,2440.0,19541.0,38.92,59.66,74.17,900.0,0.0,0.0,1.0
Arkansas State University,100.0,86880.0,7739.0,23009.0,53.010000000000005,67.19000000000001,79.05,1149.0,0.0,0.0,1.0
